Tanggal,Sumber,Judul,Link,Sentimen_Draft
18-02-2023,Bisnis.com,"Gandeng Himperra, BNI Wilayah 07 Perluas Jangkauan KPR Subsidi di Sulsel18 Feb 2023 | 19:03 WIB",https://sulawesi.bisnis.com/read/20230218/540/1629451/gandeng-himperra-bni-wilayah-07-perluas-jangkauan-kpr-subsidi-di-sulsel,Neutral
07-02-2021,Bisnis.com,"INFO BANJIR JAKARTA: Kondisi Katulampa, Depok, Sunter Hulu Pukul 19.00 WIB07 Feb 2021 | 20:15 WIB",https://jakarta.bisnis.com/read/20210207/77/1353437/info-banjir-jakarta-kondisi-katulampa-depok-sunter-hulu-pukul-1900-wib,Neutral
15-12-2020,Bisnis.com,"Keponakan SBY Menang Telak di Pilkada Pacitan, Kalahkan PDIP15 Des 2020 | 21:35 WIB",https://kabar24.bisnis.com/read/20201215/15/1331473/keponakan-sby-menang-telak-di-pilkada-pacitan-kalahkan-pdip,Neutral
03-10-2020,Bisnis.com,"Presiden : Penanganan Covid-19 di Indonesia Lebih Baik, Ini Datanya",https://kabar24.bisnis.com/read/20201003/15/1300299/presiden-penanganan-covid-19-di-indonesia-lebih-baik-ini-datanya,Neutral
06-05-2021,Bisnis.com,"Ditangkap KPK, Eks Bupati Sri Wahyumi Ajukan Praperadilan",https://kabar24.bisnis.com/read/20210506/16/1391468/ditangkap-kpk-eks-bupati-sri-wahyumi-ajukan-praperadilan,Neutral
08-03-2021,Bisnis.com,"Ada Corona B117, Kemenkes Minta Masyarakat Sukseskan Vaksinasi",https://kabar24.bisnis.com/read/20210308/15/1365298/ada-corona-b117-kemenkes-minta-masyarakat-sukseskan-vaksinasi,Neutral
13-08-2022,Bisnis.com,Hasil Islamic Solidarity Games 2021: Lifter Rizki Juniansyah Sabet Emas13 Agt 2022 | 23:07 WIB,https://bola.bisnis.com/read/20220813/60/1566516/hasil-islamic-solidarity-games-2021-lifter-rizki-juniansyah-sabet-emas,Neutral
17-07-2020,Bisnis.com,"Brigjen NW Dimutasi, Akankah Nasibnya Lebih Baik dari Brigjen Prasetijo?",https://kabar24.bisnis.com/read/20200717/16/1267732/brigjen-nw-dimutasi-akankah-nasibnya-lebih-baik-dari-brigjen-prasetijo,Neutral
20-05-2024,Bisnis.com,"Sri Mulyani Rancang Anggaran Rp1.906,4 Triliun untuk Program Prioritas Prabowo20 Mei 2024 | 21:38 WIB",https://ekonomi.bisnis.com/read/20240520/9/1767080/sri-mulyani-rancang-anggaran-rp19064-triliun-untuk-program-prioritas-prabowo,Neutral
17-05-2018,Bisnis.com,"Sanksi AS ke Rusal Melemah, Harga Aluminium Tergelincir",https://market.bisnis.com/read/20180517/94/796631/sanksi-as-ke-rusal-melemah-harga-aluminium-tergelincir,Negative
18-05-2019,Bisnis.com,"Mudik Lebaran, Ini Sejumlah Agenda Wisata di Solo18 Mei 2019 | 17:24 WIB",https://semarang.bisnis.com/read/20190518/536/924334/mudik-lebaran-ini-sejumlah-agenda-wisata-di-solo,Neutral
14-12-2025,Bisnis.com,Danone Indonesia Gandeng MDMC Kirim Bantuan Tanggap Darurat Bencana Sumatera14 Des 2025 | 19:46 WIB,https://sumatra.bisnis.com/read/20251214/533/1936669/danone-indonesia-gandeng-mdmc-kirim-bantuan-tanggap-darurat-bencana-sumatera,Neutral
19-10-2022,Bisnis.com,ICDX Tegaskan Peran Bursa Maksimalkan Ekspor Timah19 Okt 2022 | 21:27 WIB,https://market.bisnis.com/read/20221019/94/1589452/icdx-tegaskan-peran-bursa-maksimalkan-ekspor-timah,Positive
20-08-2018,CNBC Indonesia,Film Romansa Orang Tajir Asia Rajai Bioskop AS dan KanadaLifestyle7 tahun yang lalu,https://www.cnbcindonesia.com/lifestyle/20180820201208-33-29468/film-romansa-orang-tajir-asia-rajai-bioskop-as-dan-kanada,Neutral
09-01-2020,Bisnis.com,Komisioner KPU Wahyu Setiawan Ditangkap di Bandara Soekarno-Hatta,https://kabar24.bisnis.com/read/20200109/16/1188738/komisioner-kpu-wahyu-setiawan-ditangkap-di-bandara-soekarno-hatta,Neutral
12-03-2019,Bisnis.com,Meutya Hafid Mengutuk Keras Peledakan Bom di Sibolga12 Mar 2019 | 21:48 WIB,https://kabar24.bisnis.com/read/20190312/15/898936/meutya-hafid-mengutuk-keras-peledakan-bom-di-sibolga,Neutral
